Id,Label,followersCount,description
LostinCasa,LostinCasa,3258.0,слава україні
Abdelmalek Mohamed 🏭,Abdelmalek Mohamed 🏭,39.0,Responsable d'équipe #Marseille #Mourepiane #PoleEmploi #formation #recrutement #QVT #insertion #numerique #Industrie #Expert d'avenir industrie
Espoir44,Espoir44,39.0,
isulana bianchi,isulana bianchi,3047.0,
Victor L🇫🇷🇪🇺,Victor L🇫🇷🇪🇺,7969.0,ex Social Media e-RP @enedis ex-@wpp | @iscom | République - Maroilles et Rive Gauche 🇫🇷🇪🇺 - 🎙📰⌨️
Révolution Permanente,Révolution Permanente,46593.0,"L'info du bon côté de la barricade. Site d'information d'extrême gauche depuis juin 2015. Aussi sur Facebook, YouTube, Insta. siterevolutionpermanente@gmail.com"
LCI,LCI,480530.0,"Bienvenue sur LCI, #La26 sur la TNT. Le meilleur de l'info, de l'analyse, du décryptage et tous les grands événements en direct #RespectZone"
David Izzo,David Izzo,6292.0,"diplomate 🇫🇷, ambassadeur au Mozambique 🇲🇿 et Eswatini 🇸🇿, précédemment El Salvador 🇸🇻 et Belize 🇧🇿"
Eva Sadoun,Eva Sadoun,6419.0,Entrepreneure activiste et Autrice « Une économie à nous »  // @litapointco @rift_app / co-pres @Mouv_impactFR x @tech_for_goodfr /
Fernier Alexandre,Fernier Alexandre,119.0,"Chercheur, écoféministe, adhérent Génération Écologie. 
""La véritable trahison est de suivre le monde comme il va et d’employer l’esprit à le justifier"""
Stéphane Loisel ✌,Stéphane Loisel ✌,747.0,"Grand fanatique de vins naturels, de bonne nourriture. Épicurien. 
Inquiet pour les générations futures
A horreur des injustices

#insoumis"
Off Tracteur,Off Tracteur,15769.0,"👉Le seul endroit où tu peux dépasser la limite de la fake news et de la parodie / Décla AltF4 + complètement foireuse.


🚨 Compte parodique 🚨"
Christophe Grison,Christophe Grison,12027.0,Agriculteur céréalier maraîchage . Pdt du groupe Coopération @lecese. Pdt @valfrancecoop. Pdt @Adivalor Mes tweets n'engagent que moi.  #FrAgTw #FierdeRecycler
Gertrand Cera,Gertrand Cera,89.0,boom bap
Michel Cucchi 🇺🇦 🇪🇺✌️,Michel Cucchi 🇺🇦 🇪🇺✌️,137.0,
Frederick M 💙💛 #NUPES 💚❤️ #JeSuisAmish 🌻🇪🇺,Frederick M 💙💛 #NUPES 💚❤️ #JeSuisAmish 🌻🇪🇺,2641.0,#OuiLesTempsChangent🌊 | Avec @sandrousseau @NUPES_2022_ @EELV @ecoloparis16 | Vidéaste/photographe | ABONNEZ-VOUS: youtube.com/channel/UC2eKl…
Anne-Elisabeth Moutet 🇫🇷 🇺🇦,Anne-Elisabeth Moutet 🇫🇷 🇺🇦,17999.0,"Telegraph, UnHerd, Les Informés FranceInfo, GB News, #PresquEnsemble; adopted by 2 cats, 1 wheeled suitcase & a tall dark stranger. Blocked by @georgegalloway."
Verlaine,Verlaine,78851.0,Politique et société.
Geneviève Garrigos,Geneviève Garrigos,4415.0,🚺✊🏽🌎🌺🏳️‍🌈Conseillère @Paris Pdte 7e commission déléguée @mairie20e à La ville du quart d’heure Pdte @mpaa_75 Pdte @epecParis
BearingPoint FR,BearingPoint FR,3069.0,"Notre cœur de métier : accompagner nos clients dans le respect des préoccupations éthiques et environnementales 
#Consulting"
Pablo FLYE,Pablo FLYE,890.0,"""Le courage, c'est d'aller à l'idéal et de comprendre le réel."" JJ - engagé pour une justice sociale et environnementale et porte parole @fridays4futurfr 🌿"
Julie Laernoes,Julie Laernoes,5283.0,Députée de la 4e circonscription de Loire-Atlantique 🌈💚 #NUPES
ThePlaneTruth🐢🐢🐢🐢,ThePlaneTruth🐢🐢🐢🐢,900.0,"#legislatives2022 Fermeture définitive de Castorama !

Bloque Tous les trolls fachos avec 5 abonnés ⛔⛔"
Rousselet Yannick,Rousselet Yannick,4167.0,Consultant en Sûreté Nucléaire
